id,words,context,explanation
1,assault,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
2,burglary,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
3,CCTV,other,NA
4,coppers,police,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
5,whore,other,NA
6,crime,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
7,criminal,other,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
8,detain,police,NA
9,detention,police,NA
10,drugs,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
11,drunk,other,NA
12,forgery,crime_type,NA
13,fraud,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
14,gang,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
15,gun,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
16,hacking,crime_type,NA
17,harrassment,crime_type,NA
18,homophobia,crime_type,NA
19,imprisonment,other,NA
20,injury,crime_type,NA
21,knife,crime_type,http://criminology.oxfordre.com/view/10.1093/acrefore/9780190264079.001.0001/acrefore-9780190264079-e-10
22,mugged,crime_type,http://criminology.oxfordre.com/view/10.1093/acrefore/9780190264079.001.0001/acrefore-9780190264079-e-10
23,mugging,crime_type,http://criminology.oxfordre.com/view/10.1093/acrefore/9780190264079.001.0001/acrefore-9780190264079-e-10
24,murder,crime_type,http://criminology.oxfordre.com/view/10.1093/acrefore/9780190264079.001.0001/acrefore-9780190264079-e-10
25,offence,other,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
26,pigs,police,https://www.dissidentreality.com/articles/uk-prison-slang/
27,police,police,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
28,prison,other,NA
29,prostitute,other,NA
30,prostitution,other,NA
31,racist,crime_type,NA
32,rape,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
33,smuggle,crime_type,NA
34,shoplifting,crime_type,NA
35,stalk,crime_type,NA
36,stolen,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
37,terror,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
38,theft,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
39,trafficking,crime_type,NA
40,trespass,crime_type,NA
41,vandal,crime_type,NA
42,violence,crime_type,https://www.met.police.uk/sd/stats-and-data/met/crime-type-definitions/
43,weapon,crime_type,http://criminology.oxfordre.com/view/10.1093/acrefore/9780190264079.001.0001/acrefore-9780190264079-e-10
44,hate,crime_type,NA
